"Año","Zona","Ámbito geográfico","Gasto total (€/hab.)","Gastos de personal (€/hab.)","Gastos corrientes en bienes y servicios (€/hab.)","Gastos financieros (€/hab.)","Transferencias corrientes (€/hab.)","Fondo de contingencia y otros imprevistos (€/hab.)","Inversión real (€/hab.)","Transferencias de capital (€/hab.)","Activos financieros (€/hab.)","Pasivos financieros (€/hab.)"
"2021","-","Zona Costa","1410","571","540","12","168","1","74","9","","36"
"2021","-","Zona Intermedia","1035","442","331","3","176","","58","2","","23"
"2021","-","Zona Interior","918","315","404","2","141","5","41","3","","6"
"2021","Zona Interior","l'Atzúbia","872","217","554","1","44","","54","","","2"
"2021","Zona Interior","Alcalalí","666","202","227","","174","2","58","","","2"
"2021","Zona Interior","Beniarbeig","687","346","229","1","81","","1","","3","25"
"2021","Zona Interior","Benigembla","0","0","0","0","0","0","0","0","0","0"
"2021","Zona Interior","Benidoleig","892","359","426","1","89","","14","3","",""
"2021","Zona Interior","Benimeli","881","353","324","4","183","","9","8","",""
"2021","Zona Intermedia","Benissa","1348","605","362","","380","","","","","1"
"2021","Zona Costa","Poble Nou de Benitatxell","1312","601","448","","218","","34","12","",""
"2021","Zona Costa","Calp","1516","692","604","18","102","7","4","","","88"
"2021","Zona Interior","Castell de Castells","803","320","285","","167","9","18","5","",""
"2021","Zona Costa","Dénia","1548","510","541","25","137","","324","1","","11"
"2021","Zona Intermedia","Gata de Gorgos","849","383","329","","63","4","70","","",""
"2021","Zona Intermedia","Xaló","905","376","300","1","132","","77","19","",""
"2021","Zona Costa","Xàbia/Jávea","1278","451","597","16","54","","21","19","","119"
"2021","Zona Intermedia","Llíber","1349","466","475","13","271","","42","","","82"
"2021","Zona Interior","Murla","999","228","526","3","121","","120","","",""
"2021","Zona Intermedia","Ondara","1047","367","274","1","311","","93","","1",""
"2021","Zona Interior","Orba","1030","366","328","4","160","4","131","","","36"
"2021","Zona Interior","Parcent","756","332","301","1","108","","6","8","",""
"2021","Zona Intermedia","Pedreguer","1114","436","363","","113","","199","","","2"
"2021","Zona Intermedia","Pego","1073","522","325","7","106","","26","","","88"
"2021","Zona Interior","el Ràfol d'Almúnia","925","266","411","1","183","25","38","","",""
"2021","Zona Interior","Sagra","777","288","339","","150","","","","",""
"2021","Zona Interior","Sanet y Negrals","687","245","276","4","146","","","16","",""
"2021","Zona Intermedia","Senija","765","345","265","1","149","","6","","",""
"2021","Zona Costa","Teulada","1480","568","488","7","417","","","","",""
"2021","Zona Interior","Tormos","1292","384","581","1","220","5","101","","",""
"2021","Zona Interior","la Vall d'Alcalà","1059","359","478","2","118","4","86","12","",""
"2021","Zona Interior","la Vall d'Ebo","1192","523","447","5","179","","37","","",""
"2021","Zona Interior","la Vall de Gallinera","1084","294","696","2","34","25","","","","34"
"2021","Zona Interior","la Vall de Laguar","999","276","446","1","246","4","25","2","",""
"2021","Zona Intermedia","el Verger","869","479","286","5","56","","9","","","35"
"2021","Zona Costa","els Poblets","1328","606","560","5","79","","59","19","",""
"2020","-","Comunitat Valenciana","977","397","360","6","76","7","89","3","3","37"
"2020","-","Provincia de Alicante","940","385","371","5","65","5","76","3","2","28"
"2020","-","La Marina Alta","1037","396","1037","4","157","3","40","9","","19"
"2020","-","Zona Costa","1416","569","531","14","167","3","83","10","","39"
"2020","-","Zona Intermedia","1011","442","326","3","173","1","32","7","","27"
"2020","-","Zona Interior","916","309","410","2","145","3","29","9","","9"
"2020","Zona Interior","l'Atzúbia","879","190","547","3","42","","51","","","47"
"2020","Zona Interior","Alcalalí","634","201","239","","179","2","12","","","2"
"2020","Zona Interior","Beniarbeig","724","357","250","1","80","","","","3","33"
"2020","Zona Interior","Benigembla","0","0","0","0","0","0","0","0","0","0"
"2020","Zona Interior","Benidoleig","956","384","456","1","93","","18","4","",""
"2020","Zona Interior","Benimeli","840","349","294","1","188","","9","","",""
"2020","Zona Intermedia","Benissa","1369","614","368","","386","","","","","1"
"2020","Zona Costa","Poble Nou de Benitatxell","1311","600","448","","217","","34","12","",""
"2020","Zona Costa","Calp","1581","698","609","19","103","7","55","1","","88"
"2020","Zona Interior","Castell de Castells","745","315","276","","115","9","11","20","",""
"2020","Zona Costa","Dénia","1435","472","515","38","126","7","248","1","","26"
"2020","Zona Intermedia","Gata de Gorgos","753","372","318","2","47","2","13","","",""
"2020","Zona Intermedia","Xaló","825","338","302","1","123","","42","19","",""
"2020","Zona Costa","Xàbia/Jávea","1276","451","597","16","54","","21","19","","119"
"2020","Zona Intermedia","Llíber","1386","496","460","4","284","7","7","40","","87"
"2020","Zona Interior","Murla","997","241","513","1","148","","63","29","",""
"2020","Zona Intermedia","Ondara","964","363","244","1","281","","46","","1","29"
"2020","Zona Interior","Orba","951","339","338","5","186","4","42","","","36"
"2020","Zona Interior","Parcent","752","312","316","1","108","","6","9","",""
"2020","Zona Intermedia","Pedreguer","987","426","337","","103","","119","","","1"
"2020","Zona Intermedia","Pego","1083","519","342","12","109","","14","","","87"
"2020","Zona Interior","el Ràfol d'Almúnia","938","281","376","2","195","25","37","","","23"
"2020","Zona Interior","Sagra","789","289","339","","150","","10","","",""
"2020","Zona Interior","Sanet y Negrals","703","250","281","4","149","","3","16","",""
"2020","Zona Intermedia","Senija","806","361","268","1","168","","9","","",""
"2020","Zona Costa","Teulada","1572","577","496","7","424","","61","7","",""
"2020","Zona Interior","Tormos","1329","388","684","1","213","5","39","","",""
"2020","Zona Interior","la Vall d'Alcalà","1049","353","423","3","147","4","72","46","",""
"2020","Zona Interior","la Vall d'Ebo","1251","490","490","5","175","","64","26","",""
"2020","Zona Interior","la Vall de Gallinera","1041","253","710","","44","","27","","","8"
"2020","Zona Interior","la Vall de Laguar","1001","269","434","1","255","9","25","9","",""
"2020","Zona Intermedia","el Verger","924","492","294","5","57","","39","","","36"
"2020","Zona Costa","els Poblets","1321","618","520","5","77","5","77","19","",""
"2019","-","Comunitat Valenciana","949","375","347","8","75","7","82","3","4","48"
"2019","-","Provincia de Alicante","921","368","365","5","67","6","66","5","2","39"
"2019","-","La Marina Alta","1097","378","1097","4","155","2","124","11","","25"
"2019","-","Zona Costa","1395","556","529","9","173","4","64","10","","51"
"2019","-","Zona Intermedia","994","407","316","4","180","1","49","3","","35"
"2019","-","Zona Interior","1044","295","397","2","134","1","189","16","","10"
"2019","Zona Interior","l'Atzúbia","841","189","473","3","19","","76","","","82"
"2019","Zona Interior","Alcalalí","637","166","280","1","153","2","17","2","","18"
"2019","Zona Interior","Beniarbeig","709","316","270","2","83","","2","","3","34"
"2019","Zona Interior","Benigembla","0","0","0","0","0","0","0","0","0","0"
"2019","Zona Interior","Benidoleig","916","360","437","1","95","","18","5","",""
"2019","Zona Interior","Benimeli","862","358","301","1","193","","9","","",""
"2019","Zona Intermedia","Benissa","1305","554","391","","360","","1","","",""
"2019","Zona Costa","Poble Nou de Benitatxell","1389","625","448","1","299","","14","3","",""
"2019","Zona Costa","Calp","1725","663","601","18","111","9","186","9","1","129"
"2019","Zona Interior","Castell de Castells","690","277","257","","91","9","51","4","",""
